match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5159310139,blue,266,125838,107,664942,84,13338,42,88155,111,86000,887,56295,234,129890,901,22849,22,16946,53,174331
NA1_5159288341,red,799,65136,8,8502,200,169832,901,15329,432,280660,78,888,76,27594,90,29243,42,56355,43,102297
NA1_5159256338,blue,24,189078,59,3922074,3,177622,51,145618,432,574936,150,139249,9,49701,246,793811,42,27444,555,840604
NA1_5159090695,red,150,111288,131,25037,157,2642115,96,168338,412,1075250,92,266847,9,49701,163,8553,429,105351,89,172624
NA1_5159051515,red,897,36322,254,5671,134,891020,22,177357,888,43287,114,3885,131,25037,777,414655,96,187866,223,17784
NA1_5159000450,red,266,125838,234,228280,517,11521,42,41400,223,116814,92,266847,62,247333,85,73547,22,109220,497,59114
NA1_5158966823,red,799,36656,9,49701,51,12885,420,55152,147,29223,6,1043741,79,11398,429,5585,92,266847,517,106020
NA1_5158920072,blue,14,4861,9,49701,127,189007,202,101383,26,21963,92,377789,245,93376,134,664576,222,8721,412,1075250
NA1_5158774525,red,6,1043741,517,11089,157,982706,51,167165,43,119423,92,406600,59,268655,85,73547,145,170392,526,192458
NA1_5158732288,blue,10,30962,19,3842088,897,2253136,15,35782,101,28729,67,73313,99,1254,777,1699,63,1302131,154,298365
NA1_5158691072,red,266,176998,104,24576,55,8150,63,1302131,57,81890,897,2253136,121,12977,154,4181216,901,13567,412,882691
NA1_5158657819,blue,67,7426,163,146371,42,108198,27,102659,526,192458,89,13705,104,57466,143,885469,18,160479,897,2253136
NA1_5158163222,blue,266,36719,9,49701,950,1083551,157,839651,12,170476,92,266847,30,23400,517,44963,360,10539,111,14624
NA1_5158137844,red,126,65308,120,1397537,950,1083551,910,195389,267,85077,67,59001,104,57466,84,328121,51,61304,43,109935
NA1_5158091710,blue,157,1212839,62,20187,61,4815,42,68782,267,42618,58,120901,104,57466,910,171233,236,90539,147,237239
NA1_5158023614,red,266,125838,134,25036,893,2535,202,105127,111,292099,63,1302131,17,5159,157,124140,42,153715,40,585062
NA1_5157996019,blue,266,125838,64,1781968,7,5671,22,296314,117,39527,39,49463,59,159640,517,229125,202,105127,235,510541
NA1_5157636720,blue,266,125838,72,147321,887,725660,222,1388118,432,944524,777,46278,234,361001,901,5976,42,16884,143,133690
NA1_5157612456,red,6,2807267,62,247333,142,140317,526,166477,115,6244,266,125838,154,37654,910,77438,81,125337,432,72611
NA1_5157582518,red,266,125838,121,695122,163,173976,51,410276,111,477029,84,53578,200,2142493,950,1083551,115,17050,267,1182503
NA1_5157554530,blue,84,53578,9,49701,950,1083551,42,108594,89,13729,2,297847,163,19751,777,153348,96,18993,526,183709
NA1_5157534056,blue,2,297847,9,49701,517,369439,96,21342,902,40366,150,1557345,5,23160,68,1421623,99,7024,147,29223
NA1_5157483451,red,516,21734,9,49701,711,40578,523,297739,412,17815,897,9498,120,1397537,157,2642115,50,2980501,267,85077
NA1_5157447021,blue,92,377789,113,238087,157,282676,147,5736,16,133641,24,155582,9,49701,18,137634,22,40783,432,211239
NA1_5157369199,red,266,125838,104,73900,3,171301,21,255147,37,24635,63,1302131,120,1397537,157,1212839,26,120743,517,9717
NA1_5157330616,blue,86,119790,901,7246,163,210797,110,49270,555,83056,875,956343,9,49701,157,2558,51,324434,74,154905
NA1_5157267937,blue,266,125838,121,47762,517,202573,96,167866,26,59911,58,135608,104,164847,50,66726,432,107015,147,40986
NA1_5156742068,blue,266,125838,72,16997,61,68936,202,619924,43,32417,950,1083551,83,109967,50,2980501,18,472960,517,97104
NA1_5156567977,red,2,21895,234,488408,518,2055268,147,174665,142,26479,64,279574,9,49701,13,172739,21,262686,99,28936
NA1_5156533631,blue,164,111395,104,57466,267,113759,99,1170236,81,450944,17,20070,120,416364,61,6065,110,54882,526,105828
NA1_5156514048,red,24,1235724,20,1660225,5,10276,222,162200,235,18082,8,8502,59,329123,42,103576,910,146989,16,437329
NA1_5156460496,blue,777,405389,104,57466,893,43898,42,95042,526,69529,24,330449,59,217508,266,744367,96,9079,142,806289
NA1_5156102796,blue,268,1389481,19,3842088,61,54334,42,24451,53,22953,23,31408,9,49701,901,30755,96,172874,37,50352
NA1_5156028394,blue,42,141941,9,49701,55,1627729,18,107518,497,176315,54,21641,233,234853,157,2545464,96,22431,526,19383
NA1_5155993604,red,42,141941,79,146506,799,17602,157,2545464,412,698173,897,117566,104,57466,777,416137,96,22431,78,5770
NA1_5155953315,red,79,402984,35,443080,268,239761,799,10800,223,1936,266,492922,9,49701,154,4181216,157,2642115,555,37390
NA1_5155921992,blue,897,112879,104,57466,517,428157,202,199309,44,159288,10,26169,234,70147,84,1986904,18,2383,111,203691
NA1_5155880992,red,63,1302131,234,306872,157,2642115,34,2948515,412,32383,799,50927,104,57466,901,30755,26,466332,497,132576
NA1_5155850893,blue,24,66960,30,48517,3,242898,22,16946,517,43826,8,1098655,104,57466,75,27720,50,66858,89,72385
NA1_5155826450,blue,777,82062,121,695122,134,5950,119,194115,142,806289,92,14297,104,57466,61,119416,50,42286,16,2696
NA1_5155745392,blue,6,981663,20,1660225,44,1360904,22,117555,157,79903,266,176998,9,49701,84,19066,222,45951,555,62753
NA1_5155721345,red,78,7036,9,49701,84,896318,51,119689,432,114423,6,981663,17,25797,910,5295,360,214669,526,69529
NA1_5155672191,red,799,7841,59,57839,711,685186,910,141512,432,9369,58,250544,9,49701,777,41644,51,284016,53,64704
NA1_5155654527,blue,122,116458,59,57839,799,3654,50,2980501,26,59911,2,252338,120,7331,34,680238,96,84820,555,298671
NA1_5155635379,red,150,1287670,154,325548,777,64183,50,2980501,16,15712,887,89264,104,57466,517,44963,42,29491,89,29738
NA1_5154961706,red,6,1043741,9,49701,61,321497,202,56759,201,21044,106,774173,76,232819,51,2616,22,163191,44,23960
NA1_5154934486,blue,58,204074,9,49701,799,14985,910,39175,40,311323,24,45366,120,416364,96,116761,99,1170236,432,114423
NA1_5154912978,red,897,12251,76,147749,799,47873,110,54882,12,320908,58,119500,9,49701,103,63984,202,118869,432,140496
NA1_5154273306,blue,150,1287670,254,20222,61,119416,42,36801,432,91824,36,3138827,104,57466,18,43528,103,45539,526,166477
NA1_5153006179,blue,266,125838,104,81251,517,360663,145,46025,526,83766,240,4023497,121,337563,13,2154,202,105127,43,84248
NA1_5152978419,red,8,8502,77,165568,238,4289090,119,219568,111,5486,24,200598,104,201688,7,17871,96,73113,526,165056
NA1_5152961121,red,164,362275,59,3922074,113,323246,43,310916,147,1625,82,13149,120,979479,777,1258199,51,487380,497,118872
NA1_5151421895,blue,78,1110150,121,12977,134,187540,96,704959,267,1651972,79,103126,120,52499,163,462514,42,64823,902,87023
NA1_5151393250,red,8,21206,56,48018,910,18702,42,100029,53,359234,36,778896,9,49701,85,95510,143,581556,12,222954
NA1_5151369069,blue,516,251204,83,109967,517,208033,42,36801,555,298671,39,86665,9,49701,777,416137,22,231641,117,629925
NA1_5150928922,red,13,990881,44,6638174,23,15157,523,212794,117,1522187,98,451220,9,49701,238,277857,27,102659,526,6506
NA1_5150634118,red,68,195771,121,4322510,799,19127,96,161577,117,92956,266,125838,72,58385,18,100812,50,2980501,267,1182503
NA1_5150605060,blue,84,19903,64,105473,266,161628,202,68426,99,301042,893,102739,104,57466,777,220882,115,86961,432,386096
NA1_5147685138,red,68,3501308,234,173404,910,12281,235,320349,7,32043,3,7916,104,57466,103,188280,42,48329,432,1197453
NA1_5147675921,red,78,3925672,234,173404,13,122842,42,48329,89,50025,23,1567385,104,57466,34,2948515,81,69567,201,2059276
NA1_5147658516,red,79,4532,91,464799,8,529120,51,107385,267,6096,24,1067780,104,57466,517,72519,222,1388118,40,488443
NA1_5147643954,red,777,6375,9,49701,58,28915,895,58939,518,93111,85,8691,200,263601,517,85718,157,2310,526,74307
